record_type,username,format,gxe,rating,levels,extraction_time,source,endpoint
profile,Sneakyplanner,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Sneakyplanner
profile,Miojo,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Miojo
profile,doorknob72,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/doorknob72
profile,Heatranator,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Heatranator
profile,Daharan0,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Daharan0
profile,backwardmuk,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/backwardmuk
profile,gleemchild123,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/gleemchild123
profile,jokiiniemi,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/jokiiniemi
profile,littensalt,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/littensalt
profile,ArmaShouldBBanned,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/ArmaShouldBBanned
profile,gigaprodu92,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/gigaprodu92
profile,scouterman,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/scouterman
profile,Veeeeeeoz,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Veeeeeeoz
profile,SirFresh,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/SirFresh
profile,titiechecs,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/titiechecs
profile,RULT85Canard,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/RULT85Canard
profile,j!whan,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/j!whan
profile,Ermacro,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Ermacro
profile,MorbinFrFr,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/MorbinFrFr
profile,CoinHeaven,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/CoinHeaven
profile,milliongatejumpguy,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/milliongatejumpguy
profile,ilkist,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/ilkist
profile,Imuststeelmyself,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Imuststeelmyself
profile,frosmothfan421,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/frosmothfan421
profile,Mienshaocopium,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Mienshaocopium
profile,winter$torm,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/winter$torm
profile,Kman343,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/Kman343
profile,MysticMesmeralda,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/MysticMesmeralda
profile,flamigofan420,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/flamigofan420
profile,chloe,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/chloe
profile,TrapKingRD,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/TrapKingRD
profile,zuzhouduimian,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/zuzhouduimian
profile,rdpoke,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/rdpoke
profile,MenFhis,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/MenFhis
profile,410ed,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/410ed
profile,toraflora!,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/toraflora!
profile,randpokewebs,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/randpokewebs
profile,ChandosH,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/ChandosH
profile,windcheeser,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/windcheeser
profile,toldu392,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/toldu392
profile,lronDeceiver,gen9nu,,,,2025-06-10T19:48:08.106743,showdown,profile/lronDeceiver
profile,trichotomy,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/trichotomy
profile,mltza1,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/mltza1
profile,pugzig9,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/pugzig9
profile,pyrmd,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/pyrmd
profile,themaverick,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/themaverick
profile,Huzylly27,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/Huzylly27
profile,hammy358,gen9monotype,,,,2025-06-10T19:48:08.106743,showdown,profile/hammy358
profile,Vaeoz,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Vaeoz
profile,shreyashhy,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/shreyashhy
profile,Flasveaudu09,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Flasveaudu09
profile,Madinina,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Madinina
profile,Hoot1,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Hoot1
profile,Meracx,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Meracx
profile,ClawitzerFan7,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/ClawitzerFan7
profile,RULT50Tetris,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/RULT50Tetris
profile,freshoutgate,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/freshoutgate
profile,PPDC,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/PPDC
profile,hoyssxo,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/hoyssxo
profile,alyras,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/alyras
profile,Ac1D_13,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Ac1D_13
profile,i<3bea,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/i<3bea
profile,Czarvis,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Czarvis
profile,regintorm,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/regintorm
profile,ikotion,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/ikotion
profile,rult50azause,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/rult50azause
profile,LaMiellerie,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/LaMiellerie
profile,jessyboris2712,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/jessyboris2712
profile,LoSconosciuto,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/LoSconosciuto
profile,bigbootysw,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/bigbootysw
profile,Protalithic,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Protalithic
profile,AestheticsDavid,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/AestheticsDavid
profile,Severalwriter,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/Severalwriter
profile,CALMOCOBRA,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/CALMOCOBRA
profile,shadowsneakhd,gen9ru,,,,2025-06-10T19:48:08.106743,showdown,profile/shadowsneakhd
profile,Kanawha,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/Kanawha
profile,alekxbr,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/alekxbr
profile,omoeirf,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/omoeirf
profile,Thajester,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/Thajester
profile,mystigen,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/mystigen
profile,Lasen,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/Lasen
profile,fildrongproplayer,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/fildrongproplayer
profile,hjuyttdd,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/hjuyttdd
profile,stellarceus,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/stellarceus
profile,gregoreturns,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/gregoreturns
profile,GNovaGalaxy,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/GNovaGalaxy
profile,AthenaStrive9,gen9ubers,,,,2025-06-10T19:48:08.106743,showdown,profile/AthenaStrive9
profile,dragonitenoob,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/dragonitenoob
profile,ajumi,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/ajumi
profile,SirFresh,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/SirFresh
profile,gmuf,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/gmuf
profile,Cold.exe,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Cold.exe
profile,Severalwriter,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Severalwriter
profile,koraline,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/koraline
profile,Sirwings,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Sirwings
profile,yiyue,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/yiyue
profile,juikpol,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/juikpol
profile,kleinerhodenkobold,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/kleinerhodenkobold
profile,Peum,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/Peum
profile,MegaStar54,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/MegaStar54
profile,cantlivewithoutit,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/cantlivewithoutit
profile,wintminter,gen9uu,,,,2025-06-10T19:48:08.106743,showdown,profile/wintminter
profile,AlwaysAgon,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/AlwaysAgon
profile,ouzqc,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/ouzqc
profile,MRH1106,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/MRH1106
profile,severalwriter,gen9ou,,,,2025-06-10T19:48:08.106743,showdown,profile/severalwriter
