record_type,game_name,main_story,main_extra,completionist,extraction_time,source,endpoint
hl_tb_time,Phasmophobia,19.91,39.66,130.65,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Papa's Freezeria Deluxe,21.03,30.22,30.56,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Throne and Liberty,60.18,80.82,216.44,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Predecessor,1.0,0.0,0.0,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Path of Exile 2,33.91,64.3,120.5,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Starlight Re:Volver,0.0,0.0,0.0,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Fallout 76,36.0,115.36,292.32,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Gran Turismo 7,25.39,44.67,152.66,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Knight Online,0.0,0.0,8645.2,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,The Legend of Zelda: The Wind Waker,29.13,34.93,59.72,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
hl_tb_time,Kings League,10.0,0.0,51.62,2025-06-10T18:04:14.482396,howlongtobeat,hltb_search
